Id;ADC_ADC_Name__c;ADC_Benefit_Type__c;ADC_DME_Fax__c;ADC_DME_Name__c;ADC_DME_Phone__c;ADC_External_ID__c;ADC_Product__c;ADC_State__c;ADC_Valid_Contract_Status__c;ADC_Valid_Dispense_Status__c;ADC_Type__c;JF_State Name;JF_Insurance
6482;Amerigroup Insurance Company - Anthem;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Amerigroup Insurance Company - Anthem_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Amerigroup Insurance Company - Anthem
128;Anthem;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Anthem_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Anthem
1399;Anthem;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Anthem_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Anthem
3881;Anthem;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Anthem_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Anthem
1451;Anthem Blue Cross;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Anthem Blue Cross_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Anthem Blue Cross
2970;Arcadian Health Plan - Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Arcadian Health Plan - Humana_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Arcadian Health Plan - Humana
7415;Arcadian Health Plan - Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Arcadian Health Plan - Humana_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Arcadian Health Plan - Humana
7467;Arkansas Health And Wellness - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Arkansas Health And Wellness - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Arkansas Health And Wellness - Centene
7519;Aspire Health Plan - Montage Health;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Aspire Health Plan - Montage Health_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aspire Health Plan - Montage Health
7572;Aultcare Health Insuring Corporation;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Aultcare Health Insuring Corporation_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Aultcare Health Insuring Corporation
7624;Baycare Select Health Plans;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Baycare Select Health Plans_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Baycare Select Health Plans
1518;Blue Cross Blue Shield;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Blue Cross Blue Shield_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Blue Cross Blue Shield
6546;Blue Cross Blue Shield;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Blue Cross Blue Shield_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Blue Cross Blue Shield
6598;Blue Cross Blue Shield Of Alabama;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Blue Cross Blue Shield Of Alabama_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Blue Cross Blue Shield Of Alabama
7683;Blue Cross Of Idaho;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Blue Cross Of Idaho_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Blue Cross Of Idaho
7736;Bravo Health - Cigna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Bravo Health - Cigna_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Bravo Health - Cigna
7788;Bridgeway Health Solutions - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Bridgeway Health Solutions - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Bridgeway Health Solutions - Centene
211;Bright Health Management;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Bright Health Management_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Bright Health Management
3031;Bright Health Management;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Bright Health Management_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Bright Health Management
3964;Bright Health Management;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Bright Health Management_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Bright Health Management
7840;Buckeye Health Plan Community Solutions - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Buckeye Health Plan Community Solutions - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Buckeye Health Plan Community Solutions - Centene
7894;Capital District Physicians' Health Plan;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Capital District Physicians' Health Plan_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Capital District Physicians' Health Plan
7946;Captial Advantage - Capital Blue;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Captial Advantage - Capital Blue_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Captial Advantage - Capital Blue
1548;Care Improvement Plus - Unitedhealthcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Care Improvement Plus - Unitedhealthcare_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Care Improvement Plus - Unitedhealthcare
6663;Care Improvement Plus - Unitedhealthcare;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Care Improvement Plus - Unitedhealthcare_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Care Improvement Plus - Unitedhealthcare
3085;Careplus Health Plans - Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Careplus Health Plans - Humana_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Careplus Health Plans - Humana
7998;Careplus Health Plans - Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Careplus Health Plans - Humana_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Careplus Health Plans - Humana
3139;Cariten Health Plan - Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Cariten Health Plan - Humana_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Cariten Health Plan - Humana
8050;Cariten Health Plan - Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Cariten Health Plan - Humana_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Cariten Health Plan - Humana
1603;Centene Corporation;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Centene Corporation_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Centene Corporation
3191;Centene Corporation;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Centene Corporation_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Centene Corporation
8102;Centene Corporation;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Centene Corporation_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Centene Corporation
3243;Cha Hmo- Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Cha Hmo- Humana_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Cha Hmo- Humana
8154;Cha Hmo- Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Cha Hmo- Humana_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Cha Hmo- Humana
8206;Cigna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Cigna_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Cigna
276;Community Care;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Community Care_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Community Care
4029;Community Care;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Community Care_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Community Care
6721;Community Care;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community Care_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Community Care
6773;Community First Health Plans;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community First Health Plans_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Community First Health Plans
6825;Community Health Choice;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community Health Choice_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Community Health Choice
6877;Community Health Group;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Community Health Group_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Community Health Group
1660;Coventry Helath Care - Aetna;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Coventry Helath Care - Aetna_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Coventry Helath Care - Aetna
8259;Coventry Helath Care - Aetna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Coventry Helath Care - Aetna_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Coventry Helath Care - Aetna
8312;Excellus Health Plan;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Excellus Health Plan_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Excellus Health Plan
8364;Florida Blue Medicare;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Florida Blue Medicare_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Florida Blue Medicare
8416;Freedom Health - Anthem;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Freedom Health - Anthem_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Freedom Health - Anthem
6932;Geisinger Health Plan;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Geisinger Health Plan_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Geisinger Health Plan
8468;Group Health - Emblemhealth;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Group Health - Emblemhealth_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Group Health - Emblemhealth
8521;Health Alliance - Henry Ford Health System;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Health Alliance - Henry Ford Health System_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Health Alliance - Henry Ford Health System
8573;Health Alliance Connect;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Health Alliance Connect_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Health Alliance Connect
8625;Health Net - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Health Net - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Health Net - Centene
335;Healthpartners;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Healthpartners_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Healthpartners
4088;Healthpartners;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Healthpartners_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Healthpartners
8680;Healthspring - Cigna;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Healthspring - Cigna_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Healthspring - Cigna
8733;Home State Health - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Home State Health - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Home State Health - Centene
1732;Humana;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Humana_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Humana
3318;Humana;Medical Benefit;502-657-0237;Edwards Health Care Services;800-951-1725;Humana_Edwards Health Care Services_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Humana
6985;Humana;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Humana_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Humana
8785;Humana;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Humana_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Humana
391;Imperial Health;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Imperial Health_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Imperial Health
4144;Imperial Health;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Imperial Health_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Imperial Health
8837;Independent Health Association;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Independent Health Association_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Independent Health Association
444;Inland Empire Health Plan;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Inland Empire Health Plan_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Inland Empire Health Plan
4197;Inland Empire Health Plan;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Inland Empire Health Plan_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Inland Empire Health Plan
1789;Kaiser;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Kaiser_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Kaiser
8889;Keystone Health Plan East;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Keystone Health Plan East_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Keystone Health Plan East
8941;Longevity Health Plan;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Longevity Health Plan_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Longevity Health Plan
8993;Louisiana Healthcare Connections - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Louisiana Healthcare Connections - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Louisiana Healthcare Connections - Centene
9045;Magnolia Health Plan - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Magnolia Health Plan - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Magnolia Health Plan - Centene
7038;Medical Associates Health Plan;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Medical Associates Health Plan_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Medical Associates Health Plan
7092;Mutual Of Omaha Insurance Company;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;Mutual Of Omaha Insurance Company_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Mutual Of Omaha Insurance Company
513;MVP Health Plan;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;MVP Health Plan_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; MVP Health Plan
4266;MVP Health Plan;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;MVP Health Plan_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; MVP Health Plan
7144;MVP Health Plan;Medical Benefit;877-670-1121;Total Medical Supply, Inc;877-670-1120;MVP Health Plan_Total Medical Supply, Inc_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; MVP Health Plan
9099;Neighborhood Health Plan Of Rhode Island;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Neighborhood Health Plan Of Rhode Island_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Neighborhood Health Plan Of Rhode Island
9151;Optimum Healthcare - Anthem;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Optimum Healthcare - Anthem_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Optimum Healthcare - Anthem
1854;Oxford Health Plans - Unitedhealthcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Oxford Health Plans - Unitedhealthcare_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Oxford Health Plans - Unitedhealthcare
9203;Peach State Health Plan - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Peach State Health Plan - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Peach State Health Plan - Centene
9255;Pennsylvania Health & Wellness - Centene;Medical Benefit;800-557-8256;CCS Medical;800-599-7521;Pennsylvania Health & Wellness - Centene_CCS Medical_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Pennsylvania Health & Wellness - Centene
1909;Preferred Care Partners - Unitedhealthcare;Medical Benefit;866-387-1127;Byram Healthcare;800-775-4372 Ext. 39027;Preferred Care Partners - Unitedhealthcare_Byram Healthcare_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Preferred Care Partners - Unitedhealthcare
576;Priority Health Medicare;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Priority Health Medicare_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Priority Health Medicare
4329;Priority Health Medicare;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Priority Health Medicare_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Priority Health Medicare
631;San Mateo Health Commission;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;San Mateo Health Commission_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; San Mateo Health Commission
4384;San Mateo Health Commission;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;San Mateo Health Commission_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; San Mateo Health Commission
684;Santa Clara County Health Authority;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Santa Clara County Health Authority_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Santa Clara County Health Authority
4437;Santa Clara County Health Authority;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Santa Clara County Health Authority_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Santa Clara County Health Authority
738;Selecthealth;Medical Benefit;760-496-0234;Advanced Diabetes Supply;866-976-9110;Selecthealth_Advanced Diabetes Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Selecthealth
4491;Selecthealth;Medical Benefit;866-347-8544;United States Medical Supply;877-814-5459;Selecthealth_United States Medical Supply_AK_a003a00000n2UfHAAU_MEDICARE;a003a00000n2UfHAAU;AK;TRUE;TRUE;MEDICARE;AK; Selecthealth
